id,source,event_id,date,directness_index,verb_strength_max,verb_strength_mean,verb_density,mutuality_index,hedging_density,subject_first_person,subject_all_parties,subject_national,n_words
UN-gaza01-1,UN,gaza01,2023-10-07,0.412,6,6.0,18.29268292682927,18.29,0.0,0.0,0.0,0.0,164
KR-gaza01-1,KR,gaza01,2023-10-08,1.0,6,5.0,32.25806451612903,0.0,0.0,0.0,0.0,1.0,62
KR-gaza01-3,KR,gaza01,2023-10-20,0.75,0,0.0,0.0,14.6,0.0,0.0,0.0,0.2,137
KR-gaza01-4,KR,gaza01,2023-10-20,0.6,0,0.0,0.0,19.61,0.0,0.0,0.0,0.5,51
KR-gaza01-5,KR,gaza01,2023-10-20,0.667,0,0.0,0.0,14.08,0.0,0.0,0.0,0.4,71
CN-gaza01-1,CN,gaza01,2023-10-09,0.781,6,5.0,9.838369641602249,10.54,7.26,0.201,0.006,0.192,4269
CN-gaza01-2,CN,gaza01,2023-10-10,0.846,7,5.43,3.9503386004514676,12.98,2.82,0.195,0.0,0.165,1772
CN-gaza01-3,CN,gaza01,2023-10-11,0.773,7,4.62,4.464285714285714,11.16,2.23,0.079,0.024,0.214,1792
CN-gaza01-4,CN,gaza01,2023-10-12,0.753,6,3.33,3.5460992907801416,12.21,5.52,0.185,0.012,0.156,2538
CN-gaza01-5,CN,gaza01,2023-10-17,0.874,6,5.0,3.7091988130563798,11.13,2.97,0.125,0.0,0.096,1348
FR-gaza01-1,FR,gaza01,2023-10-07,1.0,6,6.0,12.82051282051282,0.0,0.0,0.0,0.0,0.333,78
FR-gaza01-2,FR,gaza01,2023-10-08,0.667,0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,196
FR-gaza01-3,FR,gaza01,2023-10-09,0.471,0,0.0,0.0,0.0,3.52,0.25,0.0,0.0,284
FR-gaza01-4,FR,gaza01,2023-10-09,0.588,0,0.0,0.0,0.0,11.7,0.214,0.0,0.071,171
FR-gaza01-5,FR,gaza01,2023-10-10,0.556,0,0.0,0.0,0.0,0.0,0.429,0.0,0.143,123
FR-gaza01-6,FR,gaza01,2023-10-10,0.222,0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,130
UN-gaza02-1,UN,gaza02,2023-10-24,0.803,7,4.06,6.278308444324858,5.29,1.88,0.037,0.004,0.04,22299
UN-gaza02-2,UN,gaza02,2023-10-27,0.858,7,5.09,9.515570934256056,6.06,3.46,0.045,0.005,0.025,2312
UN-gaza02-3,UN,gaza02,2023-10-31,0.761,7,3.4,6.585446163977609,0.66,2.3,0.025,0.0,0.021,3037
UN-gaza02-4,UN,gaza02,2023-11-01,0.855,7,4.12,22.30971128608924,3.94,1.31,0.035,0.0,0.018,762
UN-gaza02-5,UN,gaza02,2023-11-07,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114
UN-gaza02-6,UN,gaza02,2023-11-07,0.792,7,4.78,11.885341412258214,3.03,4.66,0.007,0.0,0.082,4291
KR-gaza02-1,KR,gaza02,2023-11-03,0.778,4,4.0,15.267175572519083,7.63,0.0,0.0,0.0,0.125,131
KR-gaza02-2,KR,gaza02,2023-10-19,0.778,6,5.0,19.801980198019802,19.8,0.0,0.0,0.125,0.625,101
KR-gaza02-4,KR,gaza02,2023-10-30,1.0,6,4.67,7.142857142857142,7.14,2.38,0.0,0.0,0.059,420
CN-gaza02-1,CN,gaza02,2023-10-13,0.857,7,4.71,8.316918362880282,8.75,1.75,0.135,0.0,0.226,4569
CN-gaza02-2,CN,gaza02,2023-10-16,0.794,6,5.5,2.6954177897574128,6.74,5.39,0.199,0.0,0.123,2226
CN-gaza02-3,CN,gaza02,2023-10-20,0.924,7,5.45,4.469727752945957,11.78,3.25,0.166,0.0,0.147,2461
CN-gaza02-4,CN,gaza02,2023-10-23,0.833,6,4.08,6.565656565656566,7.83,2.53,0.097,0.007,0.155,3960
CN-gaza02-5,CN,gaza02,2023-10-24,0.809,6,3.64,5.050505050505051,15.87,8.66,0.144,0.011,0.181,2772
FR-gaza02-1,FR,gaza02,2023-10-31,0.667,0,0.0,0.0,0.0,0.0,0.267,0.0,0.2,222
FR-gaza02-2,FR,gaza02,2023-11-01,0.875,4,4.0,7.936507936507936,0.0,0.0,0.286,0.0,0.0,126
FR-gaza02-3,FR,gaza02,2023-11-01,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,103
FR-gaza02-4,FR,gaza02,2023-11-03,0.429,0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,93
FR-gaza02-5,FR,gaza02,2023-11-07,0.733,0,0.0,0.0,0.0,8.03,0.071,0.0,0.143,249
UN-gaza03-1,UN,gaza03,2023-11-14,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
UN-gaza03-2,UN,gaza03,2023-11-15,0.831,7,4.13,9.81247274313127,3.71,5.02,0.033,0.004,0.057,4586
UN-gaza03-3,UN,gaza03,2023-11-28,0.767,7,4.22,12.083177219932558,4.78,1.03,0.029,0.001,0.069,10676
UN-gaza03-4,UN,gaza03,2023-11-29,0.567,7,5.67,3.9893617021276593,3.32,3.32,0.167,0.009,0.009,1504
KR-gaza03-1,KR,gaza03,2023-11-23,1.0,0,0.0,0.0,9.62,19.23,0.286,0.0,0.143,104
KR-gaza03-2,KR,gaza03,2023-11-24,1.0,4,4.0,2.5316455696202533,10.13,2.53,0.0,0.111,0.222,395
CN-gaza03-1,CN,gaza03,2023-11-14,0.833,6,5.33,3.5294117647058827,10.59,5.88,0.164,0.0,0.172,1700
CN-gaza03-2,CN,gaza03,2023-11-15,1.0,6,4.0,9.070294784580499,6.8,3.4,0.302,0.019,0.264,882
CN-gaza03-3,CN,gaza03,2023-11-16,0.908,6,5.11,4.520341536916122,13.56,4.02,0.096,0.032,0.192,1991
CN-gaza03-4,CN,gaza03,2023-11-20,0.847,6,4.08,3.6661026508742243,9.31,3.95,0.143,0.017,0.186,3546
CN-gaza03-5,CN,gaza03,2023-11-21,0.885,6,3.83,8.287292817679557,7.37,4.6,0.107,0.0,0.208,2172
FR-gaza03-1,FR,gaza03,2023-11-14,0.857,0,0.0,0.0,0.0,3.91,0.133,0.0,0.133,256
FR-gaza03-2,FR,gaza03,2023-11-14,1.0,3,3.0,5.050505050505051,0.0,0.0,0.0,0.0,0.0,198
FR-gaza03-3,FR,gaza03,2023-11-15,0.714,4,4.0,5.263157894736842,0.0,0.0,0.0,0.0,0.333,190
FR-gaza03-4,FR,gaza03,2023-11-27,1.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,136
FR-gaza03-5,FR,gaza03,2023-11-29,0.87,6,6.0,2.34192037470726,7.03,0.0,0.571,0.0,0.048,427
