id,source,event_id,date,directness_index,verb_strength_max,verb_strength_mean,verb_density,mutuality_index,hedging_density,subject_first_person,subject_all_parties,subject_national,text_len,n_words,n_strength_verbs
UN-ukr01-1,UN,ukr01,2022-02-24,0.879,0,0.0,0.0,2.82,0.0,0.29,0.0,0.0,2170,355,0
UN-ukr01-2,UN,ukr01,2022-02-23,0.876,7,3.28,9.045419553502693,5.39,4.62,0.027,0.007,0.142,32973,5196,47
UN-ukr01-3,UN,ukr01,2022-02-23,0.831,4,2.71,8.75,10.0,6.25,0.236,0.018,0.036,5167,800,7
KR-ukr01-1,KR,ukr01,2022-02-25,0.375,6,6.0,12.987012987012989,12.99,0.0,0.0,0.0,0.5,547,77,1
KR-ukr01-2,KR,ukr01,2022-02-22,1.0,4,4.0,14.492753623188406,14.49,0.0,0.0,0.0,1.0,502,69,1
KR-ukr01-3,KR,ukr01,2022-03-08,0.75,0,0.0,0.0,7.14,0.0,0.0,0.0,0.333,976,140,0
CN-ukr01-1,CN,ukr01,2022-02-16,0.858,6,3.78,5.9405940594059405,12.54,0.0,0.089,0.0,0.122,9736,1515,9
CN-ukr01-2,CN,ukr01,2022-03-01,0.751,7,3.58,5.63296768455381,10.38,3.26,0.178,0.026,0.17,21283,3373,19
FR-ukr01-1,FR,ukr01,2022-02-24,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,445,73,0
FR-ukr01-2,FR,ukr01,2022-02-24,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,445,73,0
FR-ukr01-3,FR,ukr01,2022-02-22,0.8,0,0.0,0.0,9.62,0.0,0.0,0.0,0.0,642,104,0
FR-ukr01-4,FR,ukr01,2022-02-21,1.0,0,0.0,0.0,0.0,0.0,0.143,0.0,0.286,827,140,0
UN-ukr02-1,UN,ukr02,2022-03-02,0.848,7,3.56,9.802073515551367,6.41,2.26,0.027,0.007,0.05,34082,5305,52
UN-ukr02-2,UN,ukr02,2022-02-28,0.797,7,3.84,9.37875751503006,4.65,2.0,0.035,0.004,0.081,79348,12475,117
UN-ukr02-3,UN,ukr02,2022-03-01,0.816,7,3.8,10.185788787483702,6.19,2.28,0.026,0.004,0.048,78079,12272,125
KR-ukr02-1,KR,ukr02,2022-03-07,0.5,0,0.0,0.0,12.99,0.0,0.0,0.0,0.667,522,77,0
KR-ukr02-2,KR,ukr02,2022-03-03,1.0,5,3.33,6.8181818181818175,9.09,0.0,0.0,0.091,0.227,3030,440,3
KR-ukr02-3,KR,ukr02,2022-02-28,0.714,0,0.0,0.0,9.26,9.26,0.0,0.0,0.333,741,108,0
CN-ukr02-1,CN,ukr02,2022-03-02,0.869,7,3.43,2.336448598130841,9.68,2.67,0.154,0.01,0.202,19260,2996,7
CN-ukr02-2,CN,ukr02,2022-03-03,0.697,7,4.5,2.6393929396238867,7.59,2.31,0.083,0.009,0.147,18938,3031,8
FR-ukr02-1,FR,ukr02,2022-03-01,0.5,0,0.0,0.0,0.0,10.99,0.0,0.0,0.75,563,91,0
FR-ukr02-2,FR,ukr02,2022-03-10,0.538,0,0.0,0.0,2.74,0.0,0.0,0.0,0.1,2450,365,0
FR-ukr02-3,FR,ukr02,2022-03-11,0.571,0,0.0,0.0,4.9,4.9,0.0,0.0,0.273,1391,204,0
FR-ukr02-4,FR,ukr02,2022-02-21,0.75,2,2.0,5.076142131979695,5.08,0.0,0.143,0.0,0.071,1301,197,1
UN-ukr03-1,UN,ukr03,2022-04-03,0.333,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,247,36,0
UN-ukr03-2,UN,ukr03,2022-04-05,0.758,7,3.29,5.264669283047764,2.11,3.54,0.027,0.001,0.08,66500,10447,55
KR-ukr03-1,KR,ukr03,2022-04-05,1.0,4,4.0,17.241379310344826,0.0,0.0,0.0,0.0,1.0,391,58,1
KR-ukr03-2,KR,ukr03,2022-04-15,1.0,4,4.0,5.681818181818182,5.68,0.0,0.0,0.067,0.267,1149,176,1
CN-ukr03-1,CN,ukr03,2022-03-21,0.832,6,3.25,3.8305003591094087,12.93,1.92,0.084,0.018,0.212,26812,4177,16
CN-ukr03-2,CN,ukr03,2022-03-22,0.878,6,3.5,2.0151133501259446,4.03,1.51,0.136,0.014,0.177,12787,1985,4
FR-ukr03-1,FR,ukr03,2022-04-08,0.524,0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,1463,248,0
FR-ukr03-2,FR,ukr03,2022-03-29,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,779,119,0
FR-ukr03-3,FR,ukr03,2022-04-13,0.75,0,0.0,0.0,0.0,9.52,0.0,0.0,0.143,679,105,0
FR-ukr03-4,FR,ukr03,2022-04-13,0.75,0,0.0,0.0,0.0,9.52,0.0,0.0,0.143,679,105,0
UN-ukr04-1,UN,ukr04,2022-09-21,0.835,7,3.5,5.5111600992008825,1.84,1.65,0.052,0.001,0.058,69744,10887,60
KR-ukr04-1,KR,ukr04,2022-10-01,0.4,6,4.0,35.714285714285715,0.0,0.0,0.0,0.0,0.75,396,56,2
CN-ukr04-1,CN,ukr04,2022-09-07,0.902,4,1.86,3.2543003254300324,11.16,1.39,0.096,0.0,0.141,13613,2151,7
CN-ukr04-2,CN,ukr04,2022-09-08,0.851,5,5.0,0.6079027355623101,12.77,1.22,0.102,0.023,0.125,10851,1645,1
UN-ukr05-1,UN,ukr05,2022-10-12,0.872,7,3.76,9.66643975493533,4.22,3.27,0.03,0.003,0.061,47441,7345,71
UN-ukr05-2,UN,ukr05,2022-09-30,0.772,7,3.42,9.678426475179519,5.93,2.81,0.004,0.004,0.109,20555,3203,31
UN-ukr05-3,UN,ukr05,2022-10-10,0.832,7,4.44,9.473060982830075,2.37,2.17,0.024,0.002,0.093,31954,5067,48
CN-ukr05-1,CN,ukr05,2022-09-16,0.911,6,3.91,3.8993264799716414,5.67,1.42,0.075,0.017,0.11,18210,2821,11
CN-ukr05-2,CN,ukr05,2022-09-19,0.789,4,3.25,2.3866348448687353,14.92,1.19,0.071,0.01,0.122,11005,1676,4
FR-ukr05-1,FR,ukr05,2022-10-10,0.636,0,0.0,0.0,0.0,7.3,0.111,0.0,0.222,814,137,0
UN-ukr06-1,UN,ukr06,2022-10-10,0.333,0,0.0,0.0,0.0,13.89,0.0,0.0,0.0,484,72,0
CN-ukr06-1,CN,ukr06,2022-09-26,0.868,6,2.12,4.551920341394026,13.37,2.56,0.135,0.004,0.157,22950,3515,16
CN-ukr06-2,CN,ukr06,2022-09-27,0.789,4,2.8,4.051863857374392,9.32,1.22,0.09,0.006,0.148,15992,2468,10
CN-ukr07-1,CN,ukr07,2022-10-28,0.935,7,3.11,3.6,10.0,1.2,0.153,0.022,0.246,16302,2500,9
FR-ukr07-1,FR,ukr07,2022-11-10,0.643,0,0.0,0.0,0.0,0.0,0.091,0.0,0.091,1023,174,0
FR-ukr07-2,FR,ukr07,2022-11-10,0.714,6,4.0,18.34862385321101,0.0,0.0,0.0,0.0,0.167,693,109,2
FR-ukr07-3,FR,ukr07,2022-11-17,0.778,6,6.0,6.097560975609756,0.0,6.1,0.0,0.0,0.25,1078,164,1
FR-ukr07-4,FR,ukr07,2022-10-30,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,844,130,0
